artifact,artifact_type,technique,ref_type,ref_value,source_file
IBM ART,Tool,Feature Adversaries Pytorch,author_citation,"Authors, 2021",art/attacks/evasion/feature_adversaries/feature_adversaries_pytorch.py
IBM ART,Tool,Feature Adversaries Numpy,arxiv,1511.05122,art/attacks/evasion/feature_adversaries/feature_adversaries_numpy.py
IBM ART,Tool,Feature Adversaries Numpy,arxiv,1511.05122,art/attacks/evasion/feature_adversaries/feature_adversaries_numpy.py
IBM ART,Tool,Feature Adversaries Numpy,author_citation,"Authors, 2020",art/attacks/evasion/feature_adversaries/feature_adversaries_numpy.py
IBM ART,Tool,Feature Adversaries Tensorflow,arxiv,1511.05122,art/attacks/evasion/feature_adversaries/feature_adversaries_tensorflow.py
IBM ART,Tool,Feature Adversaries Tensorflow,arxiv,1511.05122,art/attacks/evasion/feature_adversaries/feature_adversaries_tensorflow.py
IBM ART,Tool,Feature Adversaries Tensorflow,author_citation,"Authors, 2021",art/attacks/evasion/feature_adversaries/feature_adversaries_tensorflow.py
IBM ART,Tool,Imperceptible Asr,arxiv,1801.01944,art/attacks/evasion/imperceptible_asr/imperceptible_asr.py
IBM ART,Tool,Imperceptible Asr,author_citation,"Authors, 2020",art/attacks/evasion/imperceptible_asr/imperceptible_asr.py
IBM ART,Tool,Imperceptible Asr Pytorch,arxiv,1903.10346,art/attacks/evasion/imperceptible_asr/imperceptible_asr_pytorch.py
IBM ART,Tool,Imperceptible Asr Pytorch,arxiv,1903.10346,art/attacks/evasion/imperceptible_asr/imperceptible_asr_pytorch.py
IBM ART,Tool,Imperceptible Asr Pytorch,author_citation,"Authors, 2020",art/attacks/evasion/imperceptible_asr/imperceptible_asr_pytorch.py
IBM ART,Tool,Over The Air Flickering Pytorch,arxiv,2002.05123,art/attacks/evasion/over_the_air_flickering/over_the_air_flickering_pytorch.py
IBM ART,Tool,Over The Air Flickering Pytorch,arxiv,2002.05123,art/attacks/evasion/over_the_air_flickering/over_the_air_flickering_pytorch.py
IBM ART,Tool,Over The Air Flickering Pytorch,author_citation,"Authors, 2021",art/attacks/evasion/over_the_air_flickering/over_the_air_flickering_pytorch.py
IBM ART,Tool,Algorithms,arxiv,2103.06504,art/attacks/evasion/laser_attack/algorithms.py
IBM ART,Tool,Algorithms,author_citation,"Authors, 2021",art/attacks/evasion/laser_attack/algorithms.py
IBM ART,Tool,Laser Attack,arxiv,2103.06504,art/attacks/evasion/laser_attack/laser_attack.py
IBM ART,Tool,Laser Attack,arxiv,2103.06504,art/attacks/evasion/laser_attack/laser_attack.py
IBM ART,Tool,Laser Attack,author_citation,"Authors, 2021",art/attacks/evasion/laser_attack/laser_attack.py
IBM ART,Tool,Projected Gradient Descent Tensorflow V2,arxiv,1706.06083,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_tensorflow_v2.py
IBM ART,Tool,Projected Gradient Descent Tensorflow V2,arxiv,1706.06083,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_tensorflow_v2.py
IBM ART,Tool,Projected Gradient Descent Tensorflow V2,arxiv,1611.01236,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_tensorflow_v2.py
IBM ART,Tool,Projected Gradient Descent Tensorflow V2,arxiv,1611.01236,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_tensorflow_v2.py
IBM ART,Tool,Projected Gradient Descent Tensorflow V2,arxiv,1611.01236,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_tensorflow_v2.py
IBM ART,Tool,Projected Gradient Descent Tensorflow V2,author_citation,"Authors, 2020",art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_tensorflow_v2.py
IBM ART,Tool,Projected Gradient Descent Pytorch,arxiv,1706.06083,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_pytorch.py
IBM ART,Tool,Projected Gradient Descent Pytorch,arxiv,1706.06083,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_pytorch.py
IBM ART,Tool,Projected Gradient Descent Pytorch,arxiv,1611.01236,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_pytorch.py
IBM ART,Tool,Projected Gradient Descent Pytorch,arxiv,1611.01236,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_pytorch.py
IBM ART,Tool,Projected Gradient Descent Pytorch,arxiv,1611.01236,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_pytorch.py
IBM ART,Tool,Projected Gradient Descent Pytorch,author_citation,"Authors, 2020",art/attacks/evasion/projected_gradient_descent/projected_gradient_descent_pytorch.py
IBM ART,Tool,Projected Gradient Descent,arxiv,1706.06083,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent.py
IBM ART,Tool,Projected Gradient Descent,arxiv,1706.06083,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent.py
IBM ART,Tool,Projected Gradient Descent,arxiv,1611.01236,art/attacks/evasion/projected_gradient_descent/projected_gradient_descent.py
IBM ART,Tool,Projected Gradient Descent,author_citation,"Authors, 2020",art/attacks/evasion/projected_gradient_descent/projected_gradient_descent.py
